,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
117,0.00030766026,0.000272155,8.0996335e-07,0.00051493937,0.00025817705,0.00022930079
118,0.00031267075,0.00027658677,8.264277e-07,0.0005232838,0.00026237062,0.00023304128
119,0.00031771237,0.00028104696,8.4306663e-07,0.0005316822,0.00026658998,0.00023680514
120,0.00032278994,0.00028553884,8.5992554e-07,0.0005401423,0.00027083722,0.00024059434
121,0.0003278992,0.00029005954,8.7701545e-07,0.00054865604,0.00027511077,0.00024440643
122,0.00033303403,0.00029460093,8.9426226e-07,0.0005572128,0.00027940568,0.0002482384
123,0.00033820744,0.0002991778,9.1174843e-07,0.00056583306,0.0002837314,0.00025209898
124,0.00034340922,0.00030377967,9.294374e-07,0.0005744994,0.00028807926,0.00025598018
125,0.0003486581,0.00030842482,9.471847e-07,0.0005832458,0.00029246818,0.00025989927
126,0.00035393616,0.00031309528,9.652539e-07,0.0005920383,0.00029688072,0.00026383964
127,0.00035923196,0.00031778048,9.834283e-07,0.000600859,0.00030130715,0.00026779357
128,0.0003645662,0.00032250074,1.0017842e-06,0.00060973916,0.0003057669,0.00027177477
129,0.00036993055,0.00032724763,1.0204561e-06,0.0006186683,0.00031025006,0.00027578033
130,0.00037534363,0.00033203763,1.0393177e-06,0.0006276808,0.0003147766,0.00027982224
131,0.00038080168,0.00033686587,1.0582316e-06,0.00063676527,0.00031934035,0.0002838962
132,0.00038629852,0.0003417318,1.0771448e-06,0.00064592273,0.00032393943,0.00028800103
133,0.00039182842,0.00034662656,1.0961317e-06,0.0006551316,0.00032856228,0.0002921288
134,0.0003974035,0.0003515607,1.1152707e-06,0.00066441105,0.00033322207,0.0002962898
135,0.00040301052,0.00035652498,1.1346832e-06,0.00067374686,0.00033791058,0.00030047513
136,0.0004086396,0.00036150706,1.1542893e-06,0.00068311987,0.00034261635,0.00030467848
137,0.0004143154,0.00036653306,1.1739834e-06,0.00069257,0.0003473639,0.00030891626
138,0.00042002345,0.00037158636,1.1940048e-06,0.0007020763,0.00035214008,0.00031317808
139,0.00042577344,0.00037667566,1.214383e-06,0.0007116503,0.0003569496,0.0003174696
